Target,AccMeanX,AccMeanY,AccMeanZ,AccMedianX,AccMedianY,AccMedianZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroMedianX,GyroMedianY,GyroMedianZ
1,0.27891,-0.13517,-1.02084,0.21973,-0.13306,-1.01160,0.23446,4.67775,0.07797,0.84733,4.50382,0.70611
1,0.24937,-0.13269,-1.01976,0.19629,-0.11938,-1.00525,0.03653,4.83806,-0.19302,0.39695,4.95038,0.61832
1,0.23026,-0.12462,-1.02998,0.19128,-0.10645,-1.00891,0.18103,5.23282,-0.22410,0.39695,4.95038,0.61832
1,0.22021,-0.12549,-1.00994,0.19128,-0.10645,-1.00037,0.08179,5.06652,-0.40894,-0.08779,4.95038,0.61832
1,0.24386,-0.13520,-1.02014,0.19629,-0.11938,-1.00037,-0.24046,4.99945,-0.51472,-0.28244,4.95038,0.45802
1,0.26247,-0.13354,-1.00227,0.21973,-0.11938,-0.99670,0.02345,4.78953,-0.63850,-0.08779,4.58779,0.45802
1,0.29391,-0.14165,-1.00691,0.26025,-0.12952,-0.99670,-0.01036,4.78026,-0.12704,-0.08779,4.58779,0.70611
1,0.30040,-0.14880,-1.01779,0.27795,-0.13159,-1.00037,0.45474,4.91712,-0.01036,-0.00382,4.95038,0.71756
1,0.30294,-0.16019,-1.02602,0.27795,-0.15784,-1.00891,0.35060,4.30916,-0.06379,-0.00382,4.58779,0.45802
1,0.27738,-0.14685,-1.02096,0.26013,-0.13159,-1.00891,0.54035,5.07579,-0.30044,-0.00382,4.95038,0.10687
1,0.23884,-0.14856,-1.02414,0.23755,-0.13159,-1.00891,0.79117,4.70829,-0.99237,0.35878,4.58779,-0.08015
1,0.22534,-0.13702,-1.02236,0.21411,-0.12952,-1.00037,0.67285,4.34678,-0.94711,-0.00382,4.11832,-0.08015
1,0.22083,-0.13361,-1.01840,0.19275,-0.12952,-0.99548,0.49945,4.37786,-0.86641,-0.28244,4.11832,0.34351
1,0.23696,-0.13410,-1.01857,0.21411,-0.12952,-0.99548,0.25409,4.48146,-0.81679,-0.46565,4.58779,0.36641
1,0.25492,-0.12924,-1.00396,0.25525,-0.12952,-0.99158,0.19793,4.49836,-0.66031,-0.46565,4.58779,0.36641
1,0.28303,-0.13062,-1.00724,0.27795,-0.13159,-0.99390,-0.03762,4.39967,-0.64885,-0.46565,4.11832,0.36641
1,0.31039,-0.14969,-1.01107,0.29639,-0.13818,-0.99390,0.10960,4.28462,-0.84460,-0.43511,3.97328,-0.47328
1,0.31426,-0.15229,-1.01235,0.32349,-0.13818,-1.00281,-0.04744,4.52181,-0.96510,-0.64885,3.97328,-0.74809
1,0.30296,-0.15034,-1.00267,0.30981,-0.13818,-1.00281,-0.28844,4.14995,-0.62923,-0.64885,3.75191,-0.28244
1,0.30437,-0.14619,-1.02202,0.30981,-0.13281,-1.02734,-0.34297,3.79498,-0.31134,-0.64885,3.75191,0.42366
1,0.30659,-0.14258,-1.01343,0.30981,-0.13281,-1.02478,0.16412,3.74373,-0.24809,-0.64885,3.75191,0.42366
1,0.32091,-0.13780,-1.00567,0.32349,-0.12476,-1.02478,-0.61069,3.46619,-0.26990,-0.78244,3.09160,0.42366
1,0.33939,-0.14143,-0.97839,0.38635,-0.12476,-1.00281,-0.98855,3.86696,-0.05725,-0.78244,3.09160,0.91603
