Target,AccMeanX,AccMeanY,AccMeanZ,AccMedianX,AccMedianY,AccMedianZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroMedianX,GyroMedianY,GyroMedianZ
1,0.30259,-0.10536,-0.98540,0.29980,-0.06812,-0.98853,-1.04144,4.46292,0.96456,-0.77481,5.16031,0.99618
1,0.34684,-0.15669,-1.02581,0.38538,-0.15393,-1.01196,-1.23501,4.68975,0.41985,-0.62977,4.63359,0.72137
1,0.31845,-0.12760,-1.01892,0.41028,-0.12354,-1.00806,-1.73828,3.23119,1.40185,-1.67176,2.70992,1.09924
1,0.17306,-0.01767,-0.95579,0.19348,-0.04468,-0.97253,-0.99782,4.02944,1.46129,-1.23664,4.19847,0.98473
1,0.40843,-0.14457,-0.97410,0.40686,-0.13367,-0.98047,-0.58015,5.86914,0.00654,-0.83969,4.98473,0.46183
1,0.34570,-0.12074,-0.93987,0.37207,-0.11072,-0.98145,0.13195,5.79335,1.01091,-0.16794,5.81298,0.87405
1,0.32914,-0.14150,-0.98636,0.33643,-0.12610,-1.01990,-0.28081,5.55344,0.34024,-0.48855,4.70229,0.89313
1,0.32188,-0.14204,-1.02631,0.34265,-0.12866,-1.00769,-1.30153,5.31189,0.14995,-0.62977,4.63359,0.61069
1,0.30824,-0.15897,-0.95858,0.31458,-0.14099,-0.96973,-0.21156,4.34951,-0.01963,-0.87405,4.02672,0.39313
1,0.37068,-0.15224,-0.96849,0.38745,-0.15710,-0.98352,-0.76881,5.23391,0.45802,-0.40458,4.50000,0.96565
1,0.44545,-0.12868,-0.93602,0.45386,-0.13257,-0.90796,-0.46947,4.43239,0.80044,-0.70611,3.97710,0.88168
1,0.18506,-0.05080,-0.98669,0.18518,-0.06226,-0.99792,-1.07470,3.40567,-0.22410,-0.81298,4.17176,0.79008
2,0.21690,-0.17188,-1.00807,0.20715,-0.11792,-1.01782,-1.88877,4.68866,-6.63959,-1.69466,4.12214,0.58779
2,0.19186,-0.15527,-0.98875,0.18298,-0.09521,-0.96667,-0.06161,3.25082,-4.26718,-0.62977,3.97328,1.04580
2,0.19324,-0.21329,-1.01943,0.24609,-0.11340,-1.01575,-0.68157,3.07088,-6.43621,-0.21756,3.38168,1.94656
2,0.16450,-0.16162,-0.98083,0.16711,-0.12024,-0.94458,-0.29226,3.34406,-5.10687,-1.06870,3.59160,1.03053
2,0.22128,-0.16732,-0.96422,0.21521,-0.11084,-0.97144,-0.84624,3.36532,-4.57143,-1.23664,4.23664,0.45038
2,0.20051,-0.16378,-0.98413,0.21667,-0.11914,-0.98413,-0.46947,2.91985,-6.14340,-0.92748,3.27863,0.64504
2,0.18509,-0.18286,-0.94822,0.22327,-0.16479,-0.94312,-0.47710,2.41930,-6.44438,-1.11069,4.45038,0.95038
2,0.14328,-0.19320,-0.96024,0.14905,-0.10278,-0.95068,0.28462,3.43839,-9.00273,-0.59924,4.23282,1.68321
2,0.17838,-0.17643,-0.97853,0.23853,-0.08496,-0.95496,-0.79008,3.61723,-6.84569,-1.29389,5.12595,2.08779
2,0.18638,-0.24386,-0.95803,0.19617,-0.15076,-0.92957,0.28844,2.30971,-10.98800,-0.73282,3.00382,0.93511
2,0.21141,-0.18134,-0.97498,0.23596,-0.13501,-0.97888,0.20447,4.14231,-5.32606,-0.08397,4.23282,1.35115
2,0.17001,-0.20754,-0.99770,0.19873,-0.12964,-0.99622,-0.34733,4.12704,-9.58724,-0.67557,4.21756,0.46183
2,0.20705,-0.21878,-0.96615,0.19812,-0.11169,-0.96350,0.54962,1.11450,-8.74809,1.04962,2.02290,0.16031
2,0.20300,-0.18704,-1.00650,0.19214,-0.14490,-0.95764,0.80916,3.96851,-2.58492,-0.78626,4.20611,1.08015
2,0.19512,-0.18527,-0.95830,0.23755,-0.14343,-0.94312,-1.01854,1.91112,-5.78517,-1.21374,4.45038,0.50763
2,0.16738,-0.15841,-0.98434,0.19092,-0.10645,-0.99182,-0.06325,4.01745,-5.54308,-0.33588,4.11450,0.67557
2,0.18654,-0.19840,-0.95560,0.20093,-0.09131,-0.96521,0.59378,1.23010,-7.57470,-0.20611,1.80916,1.03817
2,0.17006,-0.08983,-0.98169,0.18152,-0.07483,-0.98975,-1.47819,4.48800,-1.48201,-0.77481,4.12214,0.78244
2,0.16849,-0.15759,-0.99011,0.19873,-0.10645,-0.99622,-0.02454,4.08451,-5.57361,-0.06489,4.24046,0.58779
2,0.20501,-0.19587,-0.97606,0.22302,-0.10913,-0.99280,-0.28844,3.70502,-5.17067,-0.79771,4.06107,1.17557
2,0.19660,-0.20724,-0.97764,0.25256,-0.10339,-0.97229,0.30643,2.15812,-7.64122,-0.40840,3.16031,1.40840
2,0.17482,-0.15243,-0.98760,0.17834,-0.11560,-0.96924,-0.21810,3.90785,-5.41603,-1.02290,4.22137,0.98092
2,0.15641,-0.20790,-0.99468,0.17578,-0.17761,-0.97644,0.02563,2.77426,-10.42966,-0.47328,3.28244,0.93511
2,0.15995,-0.21233,-1.02272,0.20056,-0.10913,-1.02637,0.55562,3.09160,-8.41221,0.06489,4.56107,0.48092
2,0.18169,-0.18856,-0.99442,0.21667,-0.13110,-0.99194,-0.88877,2.13304,-7.20065,-1.06489,2.98855,0.40840
